hour,is_weekend,avg_speed,road_type,distance_km,congestion
18,0,33.8,1,5.78,1.0
18,0,18.96,0,4.28,1.0
18,0,44.8,1,5.41,1.0
19,0,42.07,1,9.7,1.0
19,0,68.51,2,2.14,0.595
19,0,62.97,2,6.42,0.848
20,0,44.08,1,6.6,0.829
20,0,24.15,0,7.21,0.958
20,0,18.74,0,5.49,1.0
21,0,26.05,0,9.47,1.0
21,0,23.81,0,2.43,0.876
21,0,23.74,0,0.65,0.794
22,0,29.09,0,5.65,0.955
22,0,43.45,1,2.29,0.527
22,0,30.17,1,1.47,0.653
23,0,66.14,2,1.3,0.231
23,0,58.69,2,2.96,0.502
23,0,25.51,0,6.87,1.0
0,0,17.99,0,1.37,0.862
0,0,57.12,2,0.78,0.353
0,0,34.95,1,3.07,0.713
1,0,61.94,2,2.55,0.317
1,0,36.66,1,4.04,0.73
1,0,65.74,2,3.19,0.383
2,0,64.86,2,6.36,0.515
2,0,58.55,2,7.82,0.745
2,0,23.07,0,6.05,0.975
3,0,30.7,1,8.67,0.981
3,0,62.6,2,4.82,0.5
3,0,40.7,1,5.24,0.703
4,0,51.28,2,9.39,0.801
4,0,54.02,2,6.19,0.677
4,0,31.12,1,5.27,0.914
5,0,64.26,2,3.17,0.354
5,0,35.2,1,6.72,0.882
5,0,29.14,0,7.97,1.0
6,0,46.28,1,8.88,0.831
6,0,28.87,0,0.58,0.684
6,0,60.71,2,5.39,0.443
7,0,18.24,0,8.37,1.0
7,0,56.53,2,9.55,0.775
7,0,56.37,2,2.7,0.319
8,0,23.3,0,4.23,1.0
8,0,47.69,1,8.05,1.0
8,0,58.29,2,4.89,0.75
9,0,39.79,1,4.16,1.0
9,0,15.03,0,2.07,1.0
9,0,40.83,1,3.32,1.0
10,0,33.31,1,0.68,0.954
10,0,41.64,1,6.53,1.0
10,0,42.16,1,5.43,1.0
11,0,61.44,2,7.62,0.585
11,0,58.32,2,5.79,0.628
11,0,45.07,1,4.41,0.541
12,0,21.18,0,5.25,1.0
12,0,62.11,2,1.6,0.35
12,0,17.14,0,3.7,0.921
13,0,25.18,0,7.77,1.0
13,0,38.39,1,5.32,0.784
13,0,54.44,2,8.91,0.727
14,0,30.2,1,2.91,0.782
14,0,28.11,0,4.92,0.982
14,0,20.0,0,5.11,0.993
15,0,58.09,2,8.3,0.76
15,0,51.51,2,4.93,0.664
15,0,54.16,2,3.17,0.459
16,0,33.63,1,5.05,0.865
16,0,21.76,0,9.83,1.0
16,0,21.5,0,8.14,1.0
17,0,42.17,1,7.43,1.0
17,0,59.28,2,4.01,0.854
17,0,57.58,2,9.33,1.0
18,0,39.68,1,6.79,1.0
18,0,21.39,0,6.02,1.0
18,0,45.03,1,7.93,1.0
19,0,18.11,0,0.64,1.0
19,0,24.94,0,4.17,1.0
19,0,45.17,1,9.13,1.0
20,0,65.49,2,4.62,0.419
20,0,39.48,1,1.99,0.664
20,0,20.79,0,7.27,1.0
21,0,21.37,0,2.54,0.878
21,0,33.76,1,5.32,0.855
21,0,63.19,2,8.31,0.602
22,0,25.39,0,3.08,0.842
22,0,40.57,1,2.64,0.622
22,0,18.28,0,7.1,1.0
23,0,66.43,2,7.88,0.594
23,0,65.73,2,9.84,0.707
23,0,15.47,0,4.61,1.0
0,1,58.3,2,3.01,0.371
0,1,34.02,1,4.58,0.721
0,1,69.92,2,9.06,0.496
1,1,64.14,2,8.22,0.525
1,1,49.98,1,1.4,0.403
1,1,29.96,0,8.65,0.917
2,1,56.08,2,5.93,0.504
2,1,65.67,2,3.92,0.272
2,1,51.6,2,0.63,0.235
3,1,62.39,2,8.45,0.598
3,1,58.3,2,9.41,0.559
3,1,26.0,0,6.56,0.83
4,1,37.78,1,7.22,0.814
4,1,56.84,2,9.33,0.586
4,1,22.04,0,6.51,0.935
5,1,44.3,1,8.14,0.607
5,1,29.24,0,5.29,0.777
5,1,48.83,1,4.04,0.545
6,1,15.82,0,6.5,1.0
6,1,33.12,1,3.12,0.644
6,1,53.59,2,6.19,0.52
7,1,68.97,2,4.8,0.369
7,1,45.58,1,0.68,0.442
7,1,48.2,1,7.01,0.691
8,1,33.07,1,4.32,0.97
8,1,41.86,1,6.04,1.0
8,1,50.63,2,0.99,0.626
9,1,63.18,2,8.89,0.897
9,1,69.52,2,5.26,0.594
9,1,66.05,2,3.22,0.66
10,1,54.32,2,2.41,0.735
10,1,27.71,0,4.92,1.0
10,1,36.95,1,1.72,0.773
11,1,29.07,0,8.6,0.904
11,1,65.79,2,5.74,0.305
11,1,55.37,2,4.96,0.441
12,1,38.77,1,1.21,0.493
12,1,21.6,0,9.69,1.0
12,1,56.53,2,8.08,0.547
13,1,37.11,1,2.94,0.545
13,1,29.63,0,3.37,0.741
13,1,41.61,1,1.8,0.545
14,1,30.06,1,3.46,0.703
14,1,19.6,0,4.87,0.893
14,1,19.23,0,7.29,0.967
15,1,25.01,0,5.96,0.86
15,1,19.71,0,8.69,1.0
15,1,29.11,0,7.77,0.931
16,1,39.79,1,2.35,0.518
16,1,37.23,1,8.46,0.943
16,1,52.46,2,8.1,0.613
17,1,47.8,1,9.08,1.0
17,1,23.52,0,2.17,1.0
17,1,69.4,2,4.33,0.733
18,1,19.19,0,7.55,1.0
18,1,66.51,2,2.24,0.519
18,1,41.53,1,6.24,0.94
19,1,45.95,1,4.06,0.925
19,1,56.75,2,8.99,1.0
19,1,25.09,0,2.16,1.0
20,1,22.8,0,2.9,0.886
20,1,24.0,0,6.42,0.952
20,1,26.25,0,6.46,0.888
21,1,55.88,2,2.4,0.262
21,1,48.89,1,9.51,0.799
21,1,59.36,2,9.13,0.624
22,1,25.54,0,7.84,1.0
22,1,69.99,2,6.17,0.364
22,1,46.55,1,4.28,0.502
23,1,68.21,2,6.34,0.309
23,1,32.47,1,7.85,0.815
23,1,27.59,0,4.66,0.829
0,1,26.31,0,8.06,0.942
0,1,28.72,0,7.85,0.877
0,1,57.6,2,2.15,0.265
1,1,63.03,2,5.9,0.47
1,1,25.16,0,2.75,0.76
1,1,36.36,1,3.98,0.65
2,1,22.87,0,8.36,0.996
2,1,56.64,2,3.28,0.393
2,1,48.66,1,6.84,0.669
3,1,55.91,2,2.33,0.244
3,1,47.7,1,9.5,0.734
3,1,59.11,2,3.73,0.395
4,1,44.12,1,7.3,0.659
4,1,51.78,2,8.57,0.617
4,1,17.79,0,9.39,1.0
5,1,53.26,2,1.38,0.294
5,1,69.36,2,1.93,0.134
5,1,31.2,1,0.55,0.388
6,1,26.31,0,7.64,0.996
6,1,29.12,0,1.59,0.624
6,1,18.19,0,0.57,0.653
7,1,37.14,1,8.63,0.955
7,1,55.98,2,3.3,0.358
7,1,36.84,1,2.25,0.505
8,1,27.34,0,8.7,1.0
8,1,49.0,1,6.98,0.921
8,1,38.68,1,6.16,1.0
9,1,61.63,2,0.64,0.517
9,1,23.5,0,8.3,1.0
9,1,48.85,1,5.83,0.945
10,1,65.6,2,2.91,0.539
10,1,31.34,1,2.54,0.973
10,1,30.65,1,7.52,1.0
11,1,61.36,2,2.14,0.344
11,1,54.92,2,5.83,0.573
11,1,58.62,2,9.71,0.635
12,1,52.31,2,1.87,0.341
12,1,42.28,1,2.65,0.481
12,1,25.33,0,1.81,0.688
13,1,37.02,1,5.03,0.711
13,1,36.56,1,8.15,0.775
13,1,33.65,1,5.87,0.631
14,1,26.43,0,5.98,0.833
14,1,63.58,2,0.66,0.183
14,1,40.63,1,7.0,0.741
15,1,43.13,1,2.03,0.437
15,1,48.56,1,3.66,0.454
15,1,65.47,2,5.37,0.377
16,1,51.54,2,6.79,0.631
16,1,46.29,1,8.42,0.64
16,1,28.49,0,4.66,0.774
17,1,23.07,0,5.55,1.0
17,1,20.93,0,1.17,1.0
17,1,34.4,1,1.98,0.902
18,1,16.44,0,7.25,1.0
18,1,48.69,1,8.92,1.0
18,1,56.33,2,4.11,0.726
19,1,43.55,1,5.55,0.97
19,1,21.66,0,4.28,1.0
19,1,46.89,1,5.63,0.983
20,1,45.36,1,1.52,0.267
20,1,60.28,2,5.1,0.402
20,1,18.23,0,9.07,1.0
21,1,49.57,1,0.56,0.358
21,1,64.57,2,4.25,0.371
21,1,32.65,1,4.69,0.667
22,1,35.32,1,7.94,0.938
22,1,19.57,0,4.59,0.939
22,1,24.34,0,2.22,0.671
23,1,53.2,2,4.46,0.407
23,1,21.63,0,5.87,0.956
23,1,32.0,1,4.23,0.755
0,0,17.39,0,1.0,0.803
0,0,66.7,2,0.73,0.191
0,0,18.97,0,3.39,0.884
1,0,15.76,0,4.49,0.979
1,0,50.19,2,4.49,0.619
1,0,36.27,1,7.93,0.976
2,0,61.77,2,0.88,0.289
2,0,40.71,1,1.09,0.542
2,0,68.08,2,3.08,0.345
3,0,27.08,0,8.41,0.975
3,0,18.89,0,3.52,0.868
3,0,65.05,2,2.51,0.355
4,0,26.39,0,8.77,1.0
4,0,53.23,2,5.53,0.7
4,0,35.93,1,2.48,0.68
5,0,20.42,0,3.05,0.94
5,0,33.43,1,1.69,0.683
5,0,53.87,2,7.12,0.743
6,0,36.9,1,9.77,0.964
6,0,21.17,0,2.68,0.815
6,0,45.81,1,8.81,0.875
7,0,33.13,1,4.27,0.743
7,0,31.64,1,5.58,0.881
7,0,69.55,2,9.89,0.602
8,0,45.23,1,3.84,1.0
8,0,62.39,2,4.94,0.823
8,0,36.61,1,4.56,1.0
9,0,38.59,1,0.72,0.914
9,0,16.49,0,1.73,1.0
9,0,59.84,2,4.97,0.972
10,0,26.71,0,6.69,1.0
10,0,69.58,2,1.7,0.63
10,0,52.7,2,9.66,1.0
11,0,29.15,0,4.91,0.864
11,0,26.21,0,6.44,1.0
11,0,44.68,1,0.93,0.438
12,0,41.88,1,2.24,0.539
12,0,31.63,1,0.63,0.624
12,0,39.65,1,8.5,0.964
13,0,43.28,1,3.31,0.68
13,0,46.12,1,4.28,0.579
13,0,51.39,2,5.25,0.636
14,0,32.55,1,8.48,1.0
14,0,44.29,1,1.86,0.555
14,0,43.96,1,5.49,0.731
15,0,24.22,0,8.46,1.0
15,0,30.02,1,3.31,0.746
15,0,23.9,0,6.52,0.992
16,0,63.69,2,0.9,0.245
16,0,21.03,0,1.48,0.652
16,0,67.82,2,3.34,0.262
17,0,47.02,1,5.63,1.0
17,0,67.98,2,8.32,0.983
17,0,62.14,2,4.11,0.79
18,0,51.9,2,2.78,0.809
18,0,69.54,2,8.38,0.886
18,0,67.47,2,5.55,0.756
19,0,59.78,2,3.52,0.83
19,0,43.89,1,6.13,1.0
19,0,25.4,0,6.0,1.0
20,0,27.06,0,2.94,0.815
20,0,19.27,0,0.74,0.788
20,0,67.0,2,6.36,0.466
21,0,35.65,1,5.47,0.816
21,0,60.83,2,6.06,0.553
21,0,50.96,2,1.13,0.374
22,0,30.83,1,8.29,1.0
22,0,43.06,1,6.19,0.77
22,0,23.17,0,9.78,1.0
23,0,50.42,2,9.16,0.886
23,0,27.5,0,9.76,1.0
23,0,58.25,2,4.81,0.522
0,0,45.8,1,5.73,0.753
0,0,15.93,0,4.09,0.917
0,0,53.32,2,1.23,0.395
1,0,57.09,2,4.79,0.49
1,0,21.78,0,8.79,1.0
1,0,31.23,1,6.66,1.0
2,0,64.61,2,4.44,0.4
2,0,42.04,1,5.04,0.708
2,0,28.02,0,1.56,0.686
3,0,42.4,1,0.86,0.488
3,0,41.05,1,1.06,0.59
3,0,55.09,2,1.61,0.405
4,0,43.57,1,5.53,0.678
4,0,17.27,0,1.86,0.892
4,0,62.29,2,4.03,0.323
5,0,54.02,2,5.27,0.602
5,0,42.6,1,5.03,0.744
5,0,25.18,0,2.35,0.831
6,0,69.42,2,8.81,0.601
6,0,38.45,1,4.96,0.727
6,0,43.45,1,9.39,0.995
7,0,36.84,1,6.37,0.854
7,0,46.29,1,1.32,0.454
7,0,50.48,2,6.3,0.664
8,0,33.79,1,1.71,1.0
8,0,30.97,1,4.7,1.0
8,0,33.99,1,4.69,1.0
9,0,48.71,1,2.57,0.783
9,0,41.97,1,7.95,1.0
9,0,38.3,1,2.06,0.97
10,0,61.43,2,6.44,0.974
10,0,63.33,2,2.65,0.719
10,0,50.25,2,6.44,1.0
11,0,15.77,0,4.17,0.98
11,0,69.05,2,8.62,0.551
11,0,40.11,1,1.88,0.621
12,0,23.3,0,0.75,0.756
12,0,29.4,0,5.8,0.923
12,0,26.67,0,9.22,0.995
13,0,46.84,1,9.49,0.956
13,0,17.55,0,1.23,0.76
13,0,25.36,0,1.06,0.742
14,0,17.14,0,9.52,1.0
14,0,33.4,1,6.89,0.822
14,0,65.32,2,3.65,0.455
15,0,29.83,0,0.71,0.612
15,0,61.0,2,9.69,0.658
15,0,34.16,1,6.37,0.89
16,0,39.5,1,5.7,0.746
16,0,56.5,2,8.52,0.654
16,0,46.61,1,8.81,0.833
17,0,62.25,2,7.53,0.88
17,0,46.21,1,2.35,0.937
17,0,27.06,0,8.41,1.0
18,0,29.36,0,2.22,1.0
18,0,40.39,1,4.33,1.0
18,0,42.66,1,1.06,0.783
19,0,18.12,0,9.92,1.0
19,0,64.62,2,3.38,0.748
19,0,23.63,0,6.14,1.0
20,0,17.98,0,6.73,1.0
20,0,55.09,2,8.36,0.694
20,0,61.28,2,7.91,0.674
21,0,17.94,0,4.42,0.943
21,0,17.0,0,5.14,1.0
21,0,17.74,0,7.09,1.0
22,0,39.92,1,0.56,0.579
22,0,16.57,0,3.53,0.924
22,0,59.43,2,2.16,0.377
23,0,16.88,0,3.94,0.948
23,0,53.93,2,9.02,0.824
23,0,46.17,1,6.46,0.755
0,0,28.7,0,7.62,0.959
0,0,45.81,1,2.22,0.553
0,0,41.1,1,3.41,0.579
1,0,16.32,0,1.27,0.953
1,0,44.3,1,7.84,0.826
1,0,15.21,0,8.21,1.0
2,0,56.18,2,8.7,0.681
2,0,67.72,2,1.96,0.206
2,0,66.15,2,6.79,0.516
3,0,34.17,1,7.49,0.951
3,0,15.74,0,8.86,1.0
3,0,28.55,0,0.51,0.657
4,0,40.0,1,8.66,0.876
4,0,19.69,0,7.72,1.0
4,0,66.08,2,6.39,0.484
5,0,45.32,1,7.93,0.793
5,0,19.93,0,1.94,0.844
5,0,37.34,1,7.4,0.927
6,0,62.9,2,4.56,0.4
6,0,60.47,2,0.56,0.311
6,0,48.19,1,7.94,0.862
7,0,52.86,2,7.77,0.693
7,0,57.53,2,9.58,0.735
7,0,66.25,2,3.04,0.315
8,0,46.18,1,3.51,0.929
8,0,26.78,0,8.78,1.0
8,0,16.46,0,9.16,1.0
9,0,62.91,2,5.26,0.87
9,0,36.12,1,2.81,1.0
9,0,18.53,0,6.99,1.0
10,0,68.91,2,8.21,0.94
10,0,23.97,0,9.87,1.0
10,0,47.46,1,2.9,0.891
11,0,33.89,1,1.34,0.734
11,0,60.98,2,8.45,0.69
11,0,22.16,0,3.42,0.852
12,0,28.99,0,9.82,1.0
12,0,43.94,1,6.87,0.828
12,0,56.08,2,1.85,0.407
13,0,30.94,1,8.92,1.0
13,0,47.25,1,3.82,0.638
13,0,35.97,1,9.45,0.971
14,0,15.16,0,1.82,0.923
14,0,40.55,1,2.93,0.642
14,0,21.61,0,5.45,1.0
15,0,15.95,0,4.45,1.0
15,0,51.47,2,2.87,0.55
15,0,21.16,0,4.95,1.0
16,0,46.41,1,2.36,0.488
16,0,15.69,0,3.13,1.0
16,0,26.2,0,6.78,1.0
17,0,20.18,0,9.25,1.0
17,0,22.18,0,5.92,1.0
17,0,33.36,1,7.55,1.0
18,0,47.52,1,7.46,1.0
18,0,22.69,0,1.63,1.0
18,0,44.88,1,1.19,0.8
19,0,69.89,2,0.84,0.557
19,0,33.8,1,1.01,0.973
19,0,44.78,1,4.8,1.0
20,0,60.18,2,6.92,0.608
20,0,45.09,1,9.88,0.929
20,0,47.73,1,7.93,0.851
21,0,20.18,0,7.21,1.0
21,0,69.08,2,3.6,0.322
21,0,61.11,2,2.28,0.294
22,0,57.27,2,2.63,0.435
22,0,36.6,1,5.18,0.799
22,0,36.79,1,8.48,1.0
23,0,52.45,2,7.94,0.681
23,0,51.41,2,1.68,0.45
23,0,22.15,0,2.13,0.895
0,0,17.53,0,8.67,1.0
0,0,30.29,1,5.27,0.889
0,0,53.98,2,8.94,0.722
1,0,45.09,1,9.55,0.863
1,0,64.02,2,6.13,0.494
1,0,38.22,1,6.72,0.79
2,0,23.21,0,1.98,0.798
2,0,29.26,0,2.27,0.71
2,0,29.3,0,9.58,1.0
3,0,16.74,0,8.6,1.0
3,0,26.45,0,1.84,0.827
3,0,42.57,1,7.8,0.829
4,0,29.07,0,1.89,0.79
4,0,61.24,2,8.29,0.673
4,0,32.97,1,3.88,0.844
5,0,38.52,1,2.8,0.677
5,0,56.0,2,2.76,0.497
5,0,26.39,0,5.5,1.0
6,0,22.07,0,2.34,0.726
6,0,36.86,1,8.89,0.958
6,0,51.45,2,4.42,0.633
7,0,18.61,0,6.29,1.0
7,0,40.91,1,2.42,0.62
7,0,20.96,0,8.56,1.0
8,0,36.86,1,8.22,1.0
8,0,44.83,1,2.46,0.865
8,0,19.24,0,4.72,1.0
9,0,20.58,0,3.61,1.0
9,0,15.06,0,1.59,1.0
9,0,50.99,2,8.87,1.0
10,0,54.33,2,5.24,1.0
10,0,38.9,1,9.63,1.0
10,0,28.76,0,2.31,1.0
11,0,25.88,0,3.47,0.874
11,0,20.45,0,8.56,1.0
11,0,21.69,0,7.58,1.0
12,0,25.11,0,4.32,0.983
12,0,33.73,1,6.53,0.889
12,0,16.69,0,2.58,0.9
13,0,18.24,0,5.08,1.0
13,0,24.2,0,4.26,0.88
13,0,44.15,1,5.49,0.769
14,0,32.47,1,4.74,0.869
14,0,44.76,1,1.81,0.472
14,0,59.85,2,9.42,0.762
15,0,36.83,1,5.95,0.859
15,0,22.46,0,5.4,1.0
15,0,22.1,0,4.24,0.99
16,0,67.39,2,3.73,0.349
16,0,55.48,2,6.96,0.647
16,0,64.13,2,2.07,0.411
17,0,22.77,0,3.22,1.0
17,0,25.57,0,8.45,1.0
17,0,64.38,2,9.55,1.0
18,0,35.18,1,5.51,1.0
18,0,51.15,2,5.08,0.93
18,0,37.59,1,2.08,1.0
19,0,16.82,0,1.68,1.0
19,0,33.84,1,6.12,1.0
19,0,58.16,2,2.86,0.842
20,0,40.39,1,3.68,0.707
20,0,22.6,0,4.16,0.898
20,0,46.1,1,7.62,0.793
21,0,26.06,0,3.61,0.898
21,0,36.32,1,8.69,0.988
21,0,31.71,1,5.11,0.834
22,0,24.21,0,5.42,0.963
22,0,65.0,2,7.94,0.505
22,0,40.1,1,2.35,0.567
23,0,38.5,1,4.32,0.745
23,0,50.9,2,1.62,0.504
23,0,37.87,1,1.46,0.589
0,0,56.92,2,8.68,0.658
0,0,18.47,0,8.91,1.0
0,0,69.33,2,7.78,0.602
1,0,39.11,1,6.49,0.876
1,0,55.3,2,2.41,0.382
1,0,42.21,1,9.17,0.921
2,0,36.35,1,1.11,0.605
2,0,31.99,1,5.39,0.794
2,0,60.66,2,7.56,0.641
3,0,68.65,2,6.99,0.531
3,0,65.33,2,6.03,0.533
3,0,25.79,0,2.32,0.782
4,0,19.65,0,1.75,0.88
4,0,53.1,2,6.44,0.715
4,0,34.52,1,5.0,0.796
5,0,18.79,0,4.78,1.0
5,0,18.14,0,9.85,1.0
5,0,27.58,0,9.87,1.0
6,0,50.69,2,0.7,0.467
6,0,23.08,0,1.32,0.767
6,0,42.42,1,6.53,0.785
7,0,20.45,0,6.93,1.0
7,0,42.57,1,4.57,0.725
7,0,18.07,0,9.33,1.0
8,0,19.65,0,2.74,1.0
8,0,49.66,1,3.39,0.871
8,0,36.78,1,0.95,0.866
9,0,28.04,0,4.63,1.0
9,0,40.85,1,7.54,1.0
9,0,42.16,1,4.24,1.0
10,0,19.38,0,2.8,1.0
10,0,49.08,1,1.62,0.746
10,0,63.48,2,5.98,0.887
11,0,63.83,2,0.57,0.149
11,0,60.16,2,8.08,0.611
11,0,68.2,2,5.27,0.465
12,0,45.96,1,6.03,0.72
12,0,49.33,1,4.17,0.647
12,0,47.27,1,7.05,0.793
13,0,41.15,1,8.35,0.922
13,0,56.23,2,8.32,0.717
13,0,19.57,0,8.65,1.0
14,0,40.26,1,2.17,0.595
14,0,49.76,1,3.76,0.532
14,0,31.05,1,3.63,0.712
15,0,51.0,2,9.85,0.838
15,0,19.23,0,7.34,1.0
15,0,21.86,0,9.39,1.0
16,0,50.21,2,7.94,0.789
16,0,29.8,0,8.02,1.0
16,0,48.18,1,5.34,0.662
17,0,68.62,2,1.04,0.619
17,0,49.18,1,3.15,0.905
17,0,46.47,1,9.55,1.0
18,0,15.82,0,9.99,1.0
18,0,57.16,2,7.44,1.0
18,0,19.75,0,2.96,1.0
19,0,57.86,2,7.27,0.963
19,0,28.64,0,5.92,1.0
19,0,63.77,2,5.57,0.833
20,0,69.91,2,7.47,0.516
20,0,16.45,0,8.88,1.0
20,0,31.15,1,1.73,0.671
21,0,29.85,0,5.39,0.882
21,0,45.44,1,4.02,0.613
21,0,54.79,2,0.77,0.297
22,0,26.95,0,5.38,0.995
22,0,22.57,0,2.63,0.8
22,0,53.71,2,1.86,0.425
23,0,44.14,1,1.26,0.444
23,0,61.38,2,1.82,0.336
23,0,37.78,1,6.77,0.918
0,1,41.62,1,2.99,0.497
0,1,54.95,2,9.6,0.712
0,1,49.33,1,9.01,0.639
1,1,55.34,2,2.14,0.286
1,1,15.74,0,0.99,0.674
1,1,29.23,0,0.96,0.521
2,1,45.28,1,0.56,0.438
2,1,69.67,2,5.98,0.332
2,1,64.32,2,6.97,0.406
3,1,59.84,2,0.57,0.191
3,1,18.16,0,7.53,1.0
3,1,63.54,2,9.41,0.636
4,1,53.98,2,1.19,0.345
4,1,35.79,1,1.69,0.461
4,1,26.4,0,3.08,0.667
5,1,49.09,1,9.78,0.777
5,1,56.07,2,4.72,0.391
5,1,27.87,0,7.89,1.0
6,1,42.89,1,0.62,0.367
6,1,15.15,0,7.16,1.0
6,1,43.87,1,3.63,0.495
7,1,66.32,2,8.69,0.557
7,1,29.81,0,7.08,0.916
7,1,17.35,0,9.19,1.0
8,1,35.49,1,5.9,0.998
8,1,53.48,2,7.36,0.934
8,1,40.37,1,6.5,0.972
9,1,24.79,0,1.68,1.0
9,1,39.28,1,2.95,0.927
9,1,56.04,2,6.4,0.905
10,1,38.77,1,6.47,1.0
10,1,21.88,0,6.64,1.0
10,1,66.47,2,2.89,0.469
11,1,63.83,2,1.77,0.19
11,1,32.06,1,2.59,0.611
11,1,39.35,1,5.52,0.816
12,1,58.71,2,9.15,0.643
12,1,16.69,0,1.22,0.723
12,1,58.9,2,2.59,0.352
13,1,25.66,0,8.43,0.98
13,1,68.65,2,5.94,0.328
13,1,55.27,2,9.98,0.72
14,1,15.37,0,9.34,1.0
14,1,20.22,0,4.38,0.913
14,1,46.44,1,1.12,0.442
15,1,55.1,2,5.62,0.558
15,1,21.59,0,9.16,1.0
15,1,41.85,1,1.11,0.413
16,1,38.54,1,1.02,0.508
16,1,37.96,1,3.11,0.578
16,1,29.59,0,1.13,0.569
17,1,44.99,1,8.26,0.99
17,1,35.36,1,7.3,1.0
17,1,50.24,2,1.47,0.677
18,1,67.82,2,8.76,0.751
18,1,26.05,0,8.76,1.0
18,1,38.43,1,2.82,0.926
19,1,48.22,1,1.47,0.642
19,1,64.41,2,0.74,0.605
19,1,40.93,1,3.75,0.942
20,1,65.06,2,7.0,0.469
20,1,15.86,0,2.25,0.834
20,1,52.5,2,4.27,0.408
21,1,56.53,2,8.29,0.611
21,1,29.92,0,3.2,0.683
21,1,23.71,0,6.44,0.95
22,1,67.86,2,7.03,0.347
22,1,43.52,1,1.73,0.492
22,1,16.16,0,6.39,0.91
23,1,23.68,0,8.22,1.0
23,1,31.42,1,7.88,0.955
23,1,47.02,1,7.6,0.72
0,1,21.48,0,0.68,0.697
0,1,54.71,2,2.17,0.293
0,1,18.18,0,9.19,1.0
1,1,54.66,2,6.64,0.52
1,1,61.87,2,6.99,0.436
1,1,53.31,2,9.32,0.753
2,1,55.9,2,3.28,0.409
2,1,55.18,2,4.85,0.355
2,1,16.55,0,9.01,1.0
3,1,60.91,2,2.62,0.283
3,1,25.15,0,9.48,1.0
3,1,32.88,1,1.38,0.529
4,1,22.7,0,5.39,0.877
4,1,66.8,2,7.47,0.392
4,1,16.87,0,2.07,0.729
5,1,52.06,2,0.67,0.251
5,1,47.82,1,4.83,0.605
5,1,33.67,1,3.75,0.679
6,1,43.71,1,4.94,0.577
6,1,52.14,2,8.09,0.635
6,1,66.34,2,8.64,0.472
7,1,36.21,1,4.66,0.534
7,1,21.74,0,1.43,0.732
7,1,48.24,1,3.05,0.382
8,1,20.24,0,2.04,1.0
8,1,62.54,2,4.07,0.639
8,1,28.47,0,1.41,0.956
9,1,48.19,1,0.66,0.69
9,1,50.14,2,2.18,0.819
9,1,26.55,0,1.3,0.941
10,1,29.66,0,1.79,0.939
10,1,20.67,0,8.25,1.0
10,1,37.99,1,1.38,0.868
11,1,69.72,2,2.08,0.0
11,1,50.37,2,1.02,0.341
11,1,68.58,2,6.02,0.298
12,1,39.66,1,3.41,0.582
12,1,65.06,2,3.93,0.252
12,1,37.23,1,1.17,0.5
13,1,47.18,1,6.53,0.637
13,1,41.91,1,8.07,0.769
13,1,48.2,1,2.86,0.487
14,1,31.87,1,1.87,0.558
14,1,62.44,2,2.14,0.193
14,1,49.19,1,2.04,0.459
15,1,50.4,2,0.58,0.273
15,1,40.5,1,4.64,0.657
15,1,28.17,0,1.88,0.604
16,1,27.2,0,2.71,0.628
16,1,16.04,0,4.68,0.954
16,1,18.87,0,4.45,0.906
17,1,64.02,2,1.0,0.542
17,1,20.38,0,6.45,1.0
17,1,19.36,0,1.74,1.0
18,1,39.02,1,8.11,1.0
18,1,34.35,1,1.28,0.965
18,1,36.71,1,9.19,1.0
19,1,67.97,2,6.55,0.759
19,1,68.6,2,1.92,0.422
19,1,53.29,2,2.59,0.705
20,1,48.67,1,8.6,0.706
20,1,55.71,2,6.83,0.541
20,1,21.45,0,7.29,1.0
21,1,52.01,2,4.42,0.47
21,1,18.72,0,3.64,0.893
21,1,42.71,1,8.53,0.849
22,1,54.69,2,4.41,0.433
22,1,49.96,1,3.05,0.44
22,1,52.93,2,8.34,0.677
23,1,16.82,0,0.8,0.704
23,1,37.37,1,3.43,0.638
23,1,17.09,0,8.52,1.0
0,0,59.68,2,7.83,0.67
0,0,47.0,1,8.15,0.847
0,0,17.74,0,9.44,1.0
1,0,62.9,2,5.97,0.566
1,0,23.05,0,9.84,1.0
1,0,15.74,0,0.64,0.836
2,0,15.2,0,8.32,1.0
2,0,63.35,2,8.27,0.727
2,0,26.48,0,5.28,0.874
3,0,27.9,0,5.6,0.929
3,0,53.14,2,6.32,0.653
3,0,18.99,0,6.06,1.0
4,0,27.27,0,8.14,1.0
4,0,40.42,1,8.73,0.952
4,0,35.94,1,2.98,0.705
5,0,52.04,2,4.75,0.596
5,0,62.46,2,1.46,0.351
5,0,18.54,0,6.57,1.0
6,0,27.03,0,7.75,0.984
6,0,21.41,0,1.71,0.726
6,0,45.18,1,7.15,0.794
7,0,22.12,0,2.32,0.791
7,0,60.71,2,9.53,0.771
7,0,66.11,2,3.74,0.344
8,0,46.64,1,8.54,1.0
8,0,28.77,0,7.4,1.0
8,0,39.73,1,8.04,1.0
9,0,32.13,1,7.85,1.0
9,0,38.95,1,2.12,1.0
9,0,61.03,2,5.67,0.82
10,0,69.31,2,4.75,0.651
10,0,19.14,0,5.23,1.0
10,0,25.64,0,2.46,1.0
11,0,44.46,1,3.22,0.588
11,0,26.13,0,2.45,0.811
11,0,38.58,1,8.3,0.92
12,0,52.53,2,9.11,0.797
12,0,48.88,1,2.36,0.441
